Title,Actors,Country,Director,Genre,Language,Production,Rated,Released,Runtime_mins,Type,Writer,Year,imdbRating,imdbVotes,Wins,Nominated
Seashore,"Mateus Almada, Maurício Barcellos, Elisa Brittes, Fernando Hart",Brazil,"Filipe Matzembacher, Marcio Reolon","Drama, Romance",Portuguese,Unknown,NOT RATED,05 Nov 2015,83.0,movie,"Filipe Matzembacher, Marcio Reolon",2015,5.6,1628,3,4
Arthur & Merlin,"Kirk Barker, Stefan Butler, Nigel Cooke, Charlotte Brimble",UK,Marco van Belle,Fantasy,English,Unknown,NOT RATED,11 Apr 2015,100.0,movie,"Marco van Belle, Kat Wood",2015,4.3,1014,0,0
A Christmas Horror Story,"William Shatner, George Buza, Rob Archer, Zoé De Grand Maison",Canada,"Grant Harvey, Steven Hoban, Brett Sullivan","Fantasy, Horror, Mystery",English,Copperheart Entertainment,NOT RATED,02 Oct 2015,99.0,movie,"James Kee, Sarah Larsen, Doug Taylor, Pascal Trottier",2015,5.7,7398,5,2
The Timber,"James Ransone, Elisa Lasowski, Mark Caven, William Gaunt",USA,Anthony O'Brien,"Action, Adventure, Drama",English,Ana Media,NOT RATED,27 Feb 2015,81.0,movie,"Steve Allrich, Anthony O'Brien, Colin Ossiander",2015,5.1,1350,0,0
Essex Boys: Law of Survival,"Jesse Birdsall, Chris Bell, Ross Boatman, Megan Lockhurst",UK,Steven M. Smith,"Action, Crime, Drama",English,Unknown,NOT RATED,21 Sep 2015,88.0,movie,"Chris Bell (story), Christopher Jolley (screenplay), Steven M. Smith (story)",2015,4.9,806,0,0
The Lady in the Car with Glasses and a Gun,"Freya Mavor, Benjamin Biolay, Elio Germano, Stacy Martin","France, Belgium",Joann Sfar,"Drama, Mystery, Thriller",French,Unknown,NOT RATED,18 Dec 2015,93.0,movie,"Gilles Marchand (scenario), Patrick Godeau (scenario), Sébastien Japrisot (from the novel by)",2015,5.5,1898,1,0
Distractions,"Tommi Korpela, Elina Knihtilä, Eero Ritala, Lotta Kaihua",Finland,Aleksi Salmenperä,Comedy,Finnish,Unknown,NOT RATED,11 Sep 2015,85.0,movie,"Aleksi Salmenperä (screenplay), Samu Heikkilä (screenplay), Jani Volanen (screenplay), Jani Volanen (play), Tommi Korpela (play), Pirjo Lonka (play), Elina Knihtilä (play), Eero Ritala (play), Lotta Kaihua (play), Elena Leeve (play)",2015,6.6,353,3,6
Being Canadian,"Cobie Smulders, Nathan Fillion, Ben Stiller, Seth Rogen",Canada,Robert Cohen,"Documentary, Comedy","English, French",Candy Factory Films,NOT RATED,18 Sep 2015,90.0,movie,Robert Cohen,2015,6.2,640,0,1
Miss Hokusai,"Erica Lindbeck, Anne Watanabe, Richard Epcar, Yutaka Matsushige",Japan,"Keiichi Hara, Stephanie Sheh, Michael Sinterniklaas","Animation, Biography, Drama",Japanese,GKIDS,PG-13,09 May 2015,93.0,movie,"Hinako Sugiura (comic ""Sarusuberi""), Miho Maruo (screenplay), Stephanie Sheh (english adaptation)",2015,6.7,1759,5,7
Flying Colours,"Kasumi Arimura, Nanami Abe, Morio Agata, Atsushi Itô",Japan,Nobuhiro Doi,Drama,Japanese,Unknown,NOT RATED,01 May 2015,117.0,movie,"Hiroshi Hashimoto (screenplay), Nobutaka Tsubota (based on the novel by)",2015,7.4,1606,4,3
Suck Me Shakespeer 2,"Elyas M'Barek, Jella Haase, Karoline Herfurth, Katja Riemann",Germany,Bora Dagtekin,Comedy,"German, English, Thai",Unknown,NOT RATED,10 Sep 2015,115.0,movie,Bora Dagtekin,2015,6.1,7935,4,1
The Program,"Ben Foster, Chris O'Dowd, Guillaume Canet, Jesse Plemons","UK, France",Stephen Frears,"Biography, Drama, Sport",English,Unknown,R,18 Mar 2016,99.0,movie,"John Hodge (screenplay), David Walsh (book)",2015,6.5,12790,0,0
Everything Before Us,"Aaron Yoo, Brittany Ishibashi, Brandon Soo Hoo, Victoria Park",USA,"Wesley Chan, Philip Wang","Drama, Romance",English,Wong Fu Productions,NOT RATED,03 Jun 2015,99.0,movie,"Wesley Chan, Chris Dinh, Philip Wang",2015,7.2,848,1,1
A Horse for Summer,"Dean Cain, Christopher Atkins, Lee Meriwether, Mandalynn Carlson",USA,Nancy Criss,"Drama, Family",English,Nandar Entertainment,PG,06 Jan 2015,96.0,movie,"Kenneth Lemm (creator), Kenneth Lemm (screenplay), Kenneth Lemm (story)",2015,5.2,112,6,4
Anti-Social,"Gregg Sulkin, Meghan Markle, Josh Myers, Christian Berkel","Hungary, UK",Reg Traviss,Crime,English,Unknown,NOT RATED,01 May 2015,116.0,movie,Reg Traviss,2015,6.4,2030,0,1
Hidden,"Alexander Skarsgård, Andrea Riseborough, Emily Alyn Lind, Steven Elliot",USA,"Matt Duffer, Ross Duffer","Horror, Thriller",English,Unknown,R,15 Sep 2015,84.0,movie,"Matt Duffer, Ross Duffer",2015,6.4,15782,0,0
Hotel Transylvania 2,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",USA,Genndy Tartakovsky,"Animation, Comedy, Family",English,Sony Pictures,PG,25 Sep 2015,89.0,movie,"Robert Smigel, Adam Sandler, Todd Durham (based on characters created by)",2015,6.7,77344,1,10
Oddball and the Penguins,"Shane Jacobson, Sarah Snook, Alan Tudyk, Coco Jack Gillies",Australia,Stuart McDonald,"Adventure, Family",English,Momentum Pictures,PG,17 Sep 2015,95.0,movie,Peter Ivan,2015,6.4,1873,6,5
Alias María,"Carlos Clavijo, Anderson Gomez, Carmenza González, Lola Lagos","Colombia, Argentina, France",José Luis Rugeles,"Drama, War",Spanish,Rhayuela Cine,NOT RATED,03 Apr 2015,91.0,movie,Diego Vivanco,2015,6.2,297,2,5
